指數代碼,指數名稱,日期,價格指數值,報酬指數值,漲跌點數,漲跌百分比
IX0152,特選臺灣綠能及電動車指數,2026/03/31,8007.33,9610.17,-309.88,-3.73%
IX0153,特選臺灣智能車供應鏈聯盟指數,2026/04/02,11272.33,13416.81,-260.31,-2.26%
IX0153,特選臺灣智能車供應鏈聯盟指數,2026/04/01,11532.64,13726.65,573.56,5.23%
IX0153,特選臺灣智能車供應鏈聯盟指數,2026/03/31,10959.08,13043.97,-403.06,-3.55%
IX0154,臺灣全市場半導體精選30指數,2026/04/02,10281.89,12111.78,-226.14,-2.15%
IX0154,臺灣全市場半導體精選30指數,2026/04/01,10508.03,12378.16,509.51,5.1%
IX0154,臺灣全市場半導體精選30指數,2026/03/31,9998.52,11777.98,-358.46,-3.46%
IX0155,特選臺灣高股息30指數,2026/04/02,5013.9,7571.21,-36.91,-0.73%
IX0155,特選臺灣高股息30指數,2026/04/01,5050.81,7625.98,114.58,2.32%
IX0155,特選臺灣高股息30指數,2026/03/31,4936.23,7452.97,-100.43,-1.99%
IX0156,臺灣友善環境指數,2026/04/02,9511.87,11271.39,-155.07,-1.6%
IX0156,臺灣友善環境指數,2026/04/01,9666.94,11455.13,400.38,4.32%
IX0156,臺灣友善環境指數,2026/03/31,9266.56,10980.44,-235.6,-2.48%
IX0158,台灣永續價值指數,2026/04/02,9458.33,10840.57,-150.4,-1.57%
IX0158,台灣永續價值指數,2026/04/01,9608.73,11012.95,412.93,4.49%
IX0158,台灣永續價值指數,2026/03/31,9195.8,10539.68,-215.46,-2.29%
IX0160,臺灣優息存股指數,2026/04/02,4942.05,6176.71,-48.3,-0.97%
IX0160,臺灣優息存股指數,2026/04/01,4990.35,6237.08,115.27,2.36%
IX0160,臺灣優息存股指數,2026/03/31,4875.08,6093.01,-62.34,-1.26%
IX0161,特選臺灣環境永續高股息指數,2026/04/02,6001.5,8925.14,-31.98,-0.53%
IX0161,特選臺灣環境永續高股息指數,2026/04/01,6033.48,8972.7,109.21,1.84%
IX0161,特選臺灣環境永續高股息指數,2026/03/31,5924.27,8810.28,-123.2,-2.04%
IX0162,臺灣友善環境50指數,2026/04/02,8306.86,9816.59,-163.33,-1.93%
IX0162,臺灣友善環境50指數,2026/04/01,8470.19,10009.61,388.28,4.8%
IX0162,臺灣友善環境50指數,2026/03/31,8081.91,9550.77,-252.25,-3.03%
IX0167,特選臺灣智慧50指數,2026/04/02,7173.2,8632.26,-159.89,-2.18%
IX0167,特選臺灣智慧50指數,2026/04/01,7333.09,8824.68,374.81,5.39%
IX0167,特選臺灣智慧50指數,2026/03/31,6958.28,8373.63,-191.4,-2.68%
IX0169,臺灣晶圓製造指數,2026/04/02,9397.17,11053.36,-278.16,-2.87%
IX0169,臺灣晶圓製造指數,2026/04/01,9675.33,11380.55,405.66,4.38%
IX0169,臺灣晶圓製造指數,2026/03/31,9269.67,10903.39,-358.07,-3.72%
IX0170,臺灣精選高息指數,2026/04/02,5825.12,8489.48,-54.46,-0.93%
IX0170,臺灣精選高息指數,2026/04/01,5879.58,8568.84,160.75,2.81%
IX0170,臺灣精選高息指數,2026/03/31,5718.83,8334.57,-93.43,-1.61%
IX0171,臺灣多因子優選高股息30指數,2026/04/02,8318.98,10457.4,-65.23,-0.78%
IX0171,臺灣多因子優選高股息30指數,2026/04/01,8384.21,10539.41,185.73,2.27%
IX0171,臺灣多因子優選高股息30指數,2026/03/31,8198.48,10305.93,-110.07,-1.32%
IX0172,特選臺灣優利高填息30指數,2026/04/02,7877.03,10372.49,-76.84,-0.97%
IX0172,特選臺灣優利高填息30指數,2026/04/01,7953.87,10473.67,222.94,2.88%
IX0172,特選臺灣優利高填息30指數,2026/03/31,7730.93,10180.11,-144.91,-1.84%
IX0175,特選臺灣產業龍頭存股等權重指數,2026/04/02,7120.4,8164.85,-121.66,-1.68%
IX0175,特選臺灣產業龍頭存股等權重指數,2026/04/01,7242.06,8304.35,230.14,3.28%
IX0175,特選臺灣產業龍頭存股等權重指數,2026/03/31,7011.92,8040.46,-204.46,-2.83%
IX0177,上櫃ESG 30指數,2026/04/02,10068.84,11164.03,-129.52,-1.27%
IX0177,上櫃ESG 30指數,2026/04/01,10198.36,11307.63,599.55,6.25%
IX0177,上櫃ESG 30指數,2026/03/31,9598.81,10642.87,-547.86,-5.4%
IX0178,臺灣ESG低碳50指數,2026/04/02,11353.91,12669.23,-221.55,-1.91%
IX0178,臺灣ESG低碳50指數,2026/04/01,11575.46,12916.46,556.85,5.05%
IX0178,臺灣ESG低碳50指數,2026/03/31,11018.61,12295.09,-312.77,-2.76%
IX0179,特選臺灣科技優息指數,2026/04/02,9292.21,10913.13,-169.56,-1.79%
IX0179,特選臺灣科技優息指數,2026/04/01,9461.77,11109.88,236.89,2.57%
IX0179,特選臺灣科技優息指數,2026/03/31,9224.88,10831.72,-272.42,-2.87%
IX0181,臺灣半導體收益指數,2026/04/02,9382.94,10829.42,-191.24,-2%
IX0181,臺灣半導體收益指數,2026/04/01,9574.18,11048.26,380.15,4.13%
IX0181,臺灣半導體收益指數,2026/03/31,9194.03,10609.58,-319.58,-3.36%
IX0182,臺灣永續報告書指數,2026/04/02,11097.18,12175.81,-209.3,-1.85%
IX0182,臺灣永續報告書指數,2026/04/01,11306.48,12405.37,506.52,4.69%
IX0182,臺灣永續報告書指數,2026/03/31,10799.96,11849.38,-269.14,-2.43%
IX0183,臺灣全市場台灣永續評鑑投資級指數,2026/04/02,11382.79,12487.77,-215.38,-1.86%
IX0183,臺灣全市場台灣永續評鑑投資級指數,2026/04/01,11598.17,12724.06,528.41,4.77%
IX0183,臺灣全市場台灣永續評鑑投資級指數,2026/03/31,11069.76,12144.15,-275.49,-2.43%
IX0184,臺灣優選成長高股息指數,2026/04/02,8527.18,9949.32,-141.93,-1.64%
IX0184,臺灣優選成長高股息指數,2026/04/01,8669.11,10114.93,235.94,2.8%
IX0184,臺灣優選成長高股息指數,2026/03/31,8433.17,9839.63,-223.8,-2.59%
IX0192,特選臺灣ESG低碳高息40指數,2026/04/02,7795.26,9086.99,-86.95,-1.1%
IX0192,特選臺灣ESG低碳高息40指數,2026/04/01,7882.21,9188.34,176.88,2.3%
IX0192,特選臺灣ESG低碳高息40指數,2026/03/31,7705.33,8982.16,-150.59,-1.92%
IX0193,臺灣優選多因子30指數,2026/04/02,11089.87,12304.16,-111.34,-0.99%
IX0193,臺灣優選多因子30指數,2026/04/01,11201.21,12427.69,390.56,3.61%
IX0193,臺灣優選多因子30指數,2026/03/31,10810.65,11994.37,-102.3,-0.94%
IX0194,臺灣創新科技50指數,2026/04/02,13495.84,14881.27,-291.54,-2.11%
IX0194,臺灣創新科技50指數,2026/04/01,13787.38,15202.32,701.6,5.36%
IX0194,臺灣創新科技50指數,2026/03/31,13085.78,14428.72,-573.44,-4.2%
IX0195,臺灣全市場新經濟產業指數,2026/04/02,3532.59,3948.33,-64.74,-1.8%
IX0195,臺灣全市場新經濟產業指數,2026/04/01,3597.33,4020.69,75.24,2.14%
IX0195,臺灣全市場新經濟產業指數,2026/03/31,3522.09,3931.33,-40.68,-1.14%
IX0196,臺灣ESG永續高股息等權重指數,2026/04/02,5836.75,6735.28,-59.79,-1.01%
IX0196,臺灣ESG永續高股息等權重指數,2026/04/01,5896.54,6804.28,164.68,2.87%
IX0196,臺灣ESG永續高股息等權重指數,2026/03/31,5731.86,6614.24,-132.19,-2.25%
IX0197,臺灣創新板指數,2026/04/02,11494.47,11823.1,-69.66,-0.6%
IX0197,臺灣創新板指數,2026/04/01,11564.13,11894.75,247.15,2.18%
IX0197,臺灣創新板指數,2026/03/31,11316.98,11640.54,-305.64,-2.63%
IX0198,臺灣永續高息中小型指數,2026/04/02,6269.27,7054.89,-78.15,-1.23%
IX0198,臺灣永續高息中小型指數,2026/04/01,6347.42,7142.84,152.57,2.46%
IX0198,臺灣永續高息中小型指數,2026/03/31,6194.85,6971.15,-144.71,-2.28%
IX0205,特選臺灣高息動能指數,2026/04/02,7007.23,7804.36,-111.26,-1.56%
IX0205,特選臺灣高息動能指數,2026/04/01,7118.49,7928.27,236.85,3.44%
IX0205,特選臺灣高息動能指數,2026/03/31,6881.64,7664.49,-127.03,-1.81%
IX0206,臺灣電子成長高息等權重指數,2026/04/02,6022.09,6657.41,-13.99,-0.23%
IX0206,臺灣電子成長高息等權重指數,2026/04/01,6036.08,6672.88,174.42,2.98%
IX0206,臺灣電子成長高息等權重指數,2026/03/31,5861.66,6480.05,-151.15,-2.51%
IX0207,特選臺灣優利成長指數,2026/04/02,5476.39,6102.76,-37.55,-0.68%
IX0207,特選臺灣優利成長指數,2026/04/01,5513.94,6144.6,173.11,3.24%
IX0207,特選臺灣優利成長指數,2026/03/31,5340.83,5951.7,-160.19,-2.91%
IX0208,臺灣價值高息指數,2026/04/02,5558.25,6202.22,-50.98,-0.91%
IX0208,臺灣價值高息指數,2026/04/01,5609.23,6259.1,135.18,2.47%
IX0208,臺灣價值高息指數,2026/03/31,5474.05,6108.25,-94.5,-1.7%
IX0209,特選臺灣IC設計動能指數,2026/04/02,7835.08,8240.32,-129.33,-1.62%
IX0209,特選臺灣IC設計動能指數,2026/04/01,7964.41,8376.19,393.05,5.19%
IX0209,特選臺灣IC設計動能指數,2026/03/31,7571.36,7962.82,-443.1,-5.53%
IX0211,臺灣趨勢動能高股息指數,2026/04/02,5881.04,6548.28,-47.36,-0.8%
IX0211,臺灣趨勢動能高股息指數,2026/04/01,5928.4,6601.01,171.88,2.99%
IX0211,臺灣趨勢動能高股息指數,2026/03/31,5756.52,6407.35,-136.67,-2.32%
IX0214,特選臺灣科技高息成長指數,2026/04/02,5617.62,6233.37,-96.17,-1.68%
IX0214,特選臺灣科技高息成長指數,2026/04/01,5713.79,6340.08,124.27,2.22%
IX0214,特選臺灣科技高息成長指數,2026/03/31,5589.52,6202.19,-123.33,-2.16%
IX0216,特選臺灣AI優息動能指數,2026/04/02,5219.85,5616.64,-92.48,-1.74%
IX0216,特選臺灣AI優息動能指數,2026/04/01,5312.33,5714.08,180.22,3.51%
IX0216,特選臺灣AI優息動能指數,2026/03/31,5132.11,5520.24,-157.09,-2.97%
IX0217,臺灣優選AI  50指數,2026/04/02,6260.76,6738.04,-104.32,-1.64%
IX0217,臺灣優選AI  50指數,2026/04/01,6365.08,6848.71,266.15,4.36%
IX0217,臺灣優選AI  50指數,2026/03/31,6098.93,6562.34,-255.49,-4.02%
IX0218,臺灣AI供應鏈聯盟指數,2026/04/02,10725.17,11063.75,-143.98,-1.32%
IX0218,臺灣AI供應鏈聯盟指數,2026/04/01,10869.15,11212.28,673.57,6.61%
IX0218,臺灣AI供應鏈聯盟指數,2026/03/31,10195.58,10517.44,-596.43,-5.53%
IX0219,台灣旗艦動能50指數,2026/04/02,6463.93,6805.17,-87.21,-1.33%
IX0219,台灣旗艦動能50指數,2026/04/01,6551.14,6896.98,235.08,3.72%
IX0219,台灣旗艦動能50指數,2026/03/31,6316.06,6649.5,-224.88,-3.44%
IX0220,臺灣市值動能50指數,2026/04/02,7554.2,7888.8,-188.91,-2.44%
IX0220,臺灣市值動能50指數,2026/04/01,7743.11,8086.07,411.17,5.61%
IX0220,臺灣市值動能50指數,2026/03/31,7331.94,7656.69,-258.7,-3.41%
IX0221,臺灣淨零轉型ESG 50指數,2026/04/02,380.91,552.42,-7.02,-1.81%
IX0221,臺灣淨零轉型ESG 50指數,2026/04/01,387.93,562.6,15.74,4.23%
IX0221,臺灣淨零轉型ESG 50指數,2026/03/31,372.19,539.77,-8.16,-2.15%
IX0222,臺灣護城河概念優選50指數,2026/04/02,7054.99,7326.21,-128.66,-1.79%
IX0222,臺灣護城河概念優選50指數,2026/04/01,7183.65,7459.81,308.99,4.49%
IX0222,臺灣護城河概念優選50指數,2026/03/31,6874.66,7138.94,-162.14,-2.3%
